symbol,bid,bid_qty,ask,ask_qty,last,volume,vwap,low,high,change,change_pct,timestamp
BTC/USD,72010.4,9.88393618,72010.5,0.04801139,72010.5,1247.81284022,71119.2,70517.7,72204.6,1228.3,1.74,2026-04-13T14:53:53.847426Z
BTC/USD,72011.1,1.95757178,72014.3,5.1e-05,72011.2,1247.87701159,71119.3,70517.7,72204.6,1229.0,1.74,2026-04-13T14:53:54.312565Z
BTC/USD,72003.6,7.87833912,72007.1,5.1e-05,72003.7,1247.81061473,71119.2,70517.7,72204.6,1221.4,1.73,2026-04-13T14:53:53.120773Z
BTC/USD,72010.4,9.99505469,72010.7,5.1e-05,72010.6,1247.87473846,71119.3,70517.7,72204.6,1228.4,1.74,2026-04-13T14:53:54.222228Z
BTC/USD,72007.6,0.69437103,72019.9,0.25117718,72010.8,1249.35537556,71120.3,70517.7,72204.6,1228.6,1.74,2026-04-13T14:53:58.958997Z
BTC/USD,72013.7,2.5388759,72026.9,0.20446044,72026.9,1250.37261911,71121.1,70517.7,72204.6,1244.7,1.76,2026-04-13T14:53:59.259711Z
BTC/USD,72014.9,2.35093814,72020.9,0.0717,72014.9,1250.38151305,71121.1,70517.7,72204.6,1232.6,1.74,2026-04-13T14:54:00.264333Z
BTC/USD,72014.8,0.61830514,72020.7,0.09653899,72014.8,1250.40459153,71121.1,70517.7,72204.6,1232.5,1.74,2026-04-13T14:54:00.410720Z
BTC/USD,72014.8,0.58642847,72018.7,0.69426451,72014.8,1250.4364682,71121.1,70517.7,72204.6,1232.5,1.74,2026-04-13T14:54:00.499318Z
BTC/USD,72014.8,0.54886147,72018.5,0.6942662,72014.8,1250.4740352,71121.1,70517.7,72204.6,1232.5,1.74,2026-04-13T14:54:00.600032Z
BTC/USD,72014.1,0.00100004,72014.2,0.08313053,72014.2,1247.59111805,71122.0,70517.7,72204.6,1261.1,1.78,2026-04-13T14:54:01.765852Z
BTC/USD,72014.9,2.34007731,72020.8,0.0717,72014.9,1250.39237388,71121.1,70517.7,72204.6,1232.6,1.74,2026-04-13T14:54:00.364715Z
BTC/USD,72014.8,0.60260853,72018.7,0.69426451,72014.8,1250.42028814,71121.1,70517.7,72204.6,1232.5,1.74,2026-04-13T14:54:00.454760Z
BTC/USD,72014.8,0.56664763,72020.9,0.09946972,72014.8,1250.45624904,71121.1,70517.7,72204.6,1232.5,1.74,2026-04-13T14:54:00.554890Z
BTC/USD,72014.1,0.00100004,72014.2,0.15496769,72014.2,1247.59079234,71122.0,70517.7,72204.6,1261.1,1.78,2026-04-13T14:54:01.623556Z
BTC/USD,72014.1,0.00100004,72014.2,0.08183289,72014.2,1247.59241569,71122.0,70517.7,72204.6,1261.1,1.78,2026-04-13T14:54:01.925067Z
BTC/USD,72014.1,0.00100004,72014.2,0.45613402,72014.2,1247.58863797,71122.0,70517.7,72204.6,1253.0,1.77,2026-04-13T14:54:05.548662Z
BTC/USD,72014.1,0.00095303,72014.2,0.09141631,72014.1,1247.58868498,71122.0,70517.7,72204.6,1252.9,1.77,2026-04-13T14:54:10.119664Z
BTC/USD,72010.8,5.1e-05,72014.2,1.08281276,72014.1,1247.58848738,71122.0,70517.7,72204.6,1252.9,1.77,2026-04-13T14:54:13.381459Z
BTC/USD,72003.7,2.72892622,72003.8,0.0019713,72003.7,1244.70664924,71122.8,70517.7,72204.6,1241.5,1.75,2026-04-13T14:54:19.151066Z
BTC/USD,72003.7,2.38990621,72003.8,0.02906682,72003.8,1244.70733003,71122.8,70517.7,72204.6,1241.6,1.75,2026-04-13T14:54:22.813047Z
